Date,Time,Open,High,Low,Close,Volume
10/30/2019,12:10,43840,43840,43840,43840,0
10/30/2019,12:15,43840,43840,43840,43840,0
10/30/2019,12:20,43840,43840,43840,43840,0
10/30/2019,12:25,43840,43840,43840,43840,0
10/30/2019,12:30,43840,43840,43840,43840,0
10/30/2019,12:35,43840,43840,43840,43840,0
10/30/2019,12:40,43840,43840,43840,43840,0
10/30/2019,12:45,43840,43840,43840,43840,0
10/30/2019,12:50,43840,43840,43840,43840,0
10/30/2019,12:55,43840,43840,43840,43840,0
10/30/2019,13:00,43840,43840,43840,43840,0
10/30/2019,13:05,43840,43840,43840,43840,0
10/30/2019,13:10,43840,43840,43840,43840,0
10/30/2019,13:15,43840,43840,43840,43840,0
10/30/2019,13:20,43840,43840,43840,43840,0
10/30/2019,13:25,43840,43840,43840,43840,0
10/30/2019,13:30,43840,43840,43840,43840,0
10/30/2019,13:35,43830,43830,43820,43830,314
10/30/2019,13:40,43830,43840,43820,43840,768
10/30/2019,13:45,43840,43850,43840,43850,494
10/30/2019,13:50,43850,43850,43840,43850,290
10/30/2019,13:55,43850,43850,43840,43840,142
10/30/2019,14:00,43850,43850,43850,43850,374
10/30/2019,14:05,43850,43850,43840,43850,26
10/30/2019,14:10,43850,43850,43840,43850,342
10/30/2019,14:15,43850,43850,43850,43850,838
10/30/2019,14:20,43850,43850,43840,43840,690
10/30/2019,14:25,43850,43850,43840,43850,650
10/30/2019,14:30,43850,43860,43840,43840,286
10/30/2019,14:35,43850,43860,43850,43860,578
10/30/2019,14:40,43850,43870,43850,43870,472
10/30/2019,14:45,43870,43890,43870,43880,520
10/30/2019,14:50,43890,43900,43870,43880,830
10/30/2019,14:55,43880,43900,43880,43890,154
10/30/2019,15:00,43880,43880,43860,43870,612
10/31/2019,09:05,43750,43780,43730,43750,1694
10/31/2019,09:10,43760,43760,43740,43740,876
10/31/2019,09:15,43740,43750,43660,43680,2004
10/31/2019,09:20,43680,43700,43670,43680,996
10/31/2019,09:25,43680,43690,43670,43670,540
10/31/2019,09:30,43670,43680,43650,43660,1624
10/31/2019,09:35,43660,43680,43650,43680,1360
10/31/2019,09:40,43690,43700,43680,43680,1526
10/31/2019,09:45,43680,43690,43660,43660,1818
10/31/2019,09:50,43670,43670,43630,43650,968
10/31/2019,09:55,43640,43650,43620,43640,1170
10/31/2019,10:00,43630,43640,43610,43620,842
10/31/2019,10:05,43620,43630,43610,43630,800
10/31/2019,10:10,43640,43640,43620,43620,1392
10/31/2019,10:15,43620,43620,43620,43620,890
10/31/2019,10:20,43620,43620,43620,43620,0
10/31/2019,10:25,43620,43620,43620,43620,0
10/31/2019,10:30,43620,43620,43620,43620,0
10/31/2019,10:35,43610,43640,43610,43640,1038
10/31/2019,10:40,43640,43650,43640,43640,840
10/31/2019,10:45,43640,43650,43640,43650,940
10/31/2019,10:50,43650,43660,43650,43660,602
10/31/2019,10:55,43650,43660,43650,43650,230
10/31/2019,11:00,43660,43680,43650,43680,1142
10/31/2019,11:05,43680,43680,43670,43680,410
10/31/2019,11:10,43680,43680,43670,43680,428
10/31/2019,11:15,43680,43690,43670,43680,556
10/31/2019,11:20,43680,43690,43680,43680,500
10/31/2019,11:25,43690,43690,43680,43680,380
10/31/2019,11:30,43680,43690,43670,43680,810
10/31/2019,11:35,43680,43680,43680,43680,0
10/31/2019,11:40,43680,43680,43680,43680,0
10/31/2019,11:45,43680,43680,43680,43680,0
10/31/2019,11:50,43680,43680,43680,43680,0
10/31/2019,11:55,43680,43680,43680,43680,0
10/31/2019,12:00,43680,43680,43680,43680,0
10/31/2019,12:05,43680,43680,43680,43680,0
10/31/2019,12:10,43680,43680,43680,43680,0
10/31/2019,12:15,43680,43680,43680,43680,0
10/31/2019,12:20,43680,43680,43680,43680,0
10/31/2019,12:25,43680,43680,43680,43680,0
10/31/2019,12:30,43680,43680,43680,43680,0
10/31/2019,12:35,43680,43680,43680,43680,0
10/31/2019,12:40,43680,43680,43680,43680,0
10/31/2019,12:45,43680,43680,43680,43680,0
10/31/2019,12:50,43680,43680,43680,43680,0
10/31/2019,12:55,43680,43680,43680,43680,0
10/31/2019,13:00,43680,43680,43680,43680,0
10/31/2019,13:05,43680,43680,43680,43680,0
10/31/2019,13:10,43680,43680,43680,43680,0
10/31/2019,13:15,43680,43680,43680,43680,0
10/31/2019,13:20,43680,43680,43680,43680,0
10/31/2019,13:25,43680,43680,43680,43680,0
10/31/2019,13:30,43680,43680,43680,43680,0
