size,AVL-Insert-time (ns),Heap-Insert-time (ns),AVL-RemoveMin-time (ns),Heap-RemoveMin-time (ns)
887,542,2542,3208,1500
888,500,1000,2208,1042
889,625,750,1750,1250
890,834,1250,2792,1708
891,542,417,1500,98208
892,156625,2334,235833,1708
893,500,708,2166,1125
894,250,709,1583,417
895,1375,1291,3209,2166
896,541,314167,2333,1250
897,417,1708,1292,916
898,291,1166,2333,1917
899,584,708,1416,1541
900,625,1875,3958,1958
901,625,1916,2167,1708
902,625,1000,2166,2041
903,750,1459,2083,1291
904,584,4750,1500,1541
905,500,1334,1667,90666
906,158708,324208,245083,1542
907,625,958,238250,90458
908,917,2167,2000,1958
909,666,2375,9167,4292
910,708,1084,2125,958
911,583,5000,270500,84709
912,834,1042,2708,2458
913,750,791,1250,1167
914,708,2125,6333,1292
915,667,1625,1834,1250
916,916,1542,2084,958
917,791,1042,1875,791
918,291,667,1208,708
919,625,583,1250,1042
920,583,542,1000,1000
921,583,1333,236791,82250
922,916,1417,2334,1417
923,542,958,2583,1542
924,625,8125,1500,1167
925,542,2584,3375,1417
926,375,437417,3167,1750
927,750,2458,1625,1375
928,542,3041,1625,1208
929,750,2250,2208,1000
930,709,323875,255792,92125
931,1042,1792,242375,83125
932,1042,4250,2583,1291
933,667,2250,4959,1500
934,917,916,3542,85250
935,163333,1500,247917,1959
936,417,1167,2625,1333
937,209,332417,3334,1541
938,417,1583,1834,2042
939,709,1416,2292,1667
940,625,750,2250,1625
941,583,459,1583,958
942,542,542,1583,1125
943,250,667,1375,83708
944,160333,1708,238375,1750
945,500,1000,1583,1292
946,291,583,916,875
947,125,666,625,1750
948,875,1417,2292,1500
949,792,353417,3083,1500
950,750,1375,2125,1917
951,875,2500,2000,3125
952,1250,1209,4750,1166
953,750,3083,2542,1125
954,542,1500,4292,83750
955,151250,307542,248417,1791
956,667,2709,3292,1042
957,583,1500,2667,958
958,333,916,1000,500
959,334,2875,268625,103458
960,792,1125,4542,2917
961,834,958,2417,1166
962,584,3584,2958,1292
963,542,2959,2208,1250
964,500,1208,1833,1500
965,583,1250,2625,1167
966,792,791,2542,1208
967,708,875,235292,79042
968,917,1459,1916,1209
969,459,1125,1834,958
970,208,333,1083,667
971,250,666,1375,2042
972,667,2542,1917,1625
973,625,2084,3417,1250
974,459,1500,1625,1625
