Time,Time Code,Country Name,Country Code,"Services, value added (% of GDP) [NV.SRV.TOTL.ZS]",Urban population (% of total population) [SP.URB.TOTL.IN.ZS],"Government expenditure on education, total (% of GDP) [SE.XPD.TOTL.GD.ZS]"
2007,YR2007,Sweden,SWE,61.6620355283503,84.588,6.17158985137939
2007,YR2007,Switzerland,CHE,69.3690605636684,73.53,4.55798006057739
2007,YR2007,United Kingdom,GBR,69.725534148808,80.479,4.90883016586304
2007,YR2007,United States,USA,73.9220618222027,80.269,..
2007,YR2007,Mexico,MEX,59.185340733358,76.92,4.69050979614258
2007,YR2007,Turkiye,TUR,54.8811394325025,69.053,..
2008,YR2008,Australia,AUS,64.4616346662119,84.943,4.63278007507324
2008,YR2008,Austria,AUT,61.0266320776577,57.966,5.26395988464355
2008,YR2008,Belgium,BEL,66.9573617790939,97.555,6.33294010162354
2008,YR2008,Canada,CAN,62.7344542075025,80.578,4.62612009048462
2008,YR2008,Chile,CHL,54.4485312368393,86.959,3.79242992401123
2008,YR2008,Czechia,CZE,55.1493991877038,73.394,3.7271900177002
2008,YR2008,Denmark,DNK,62.3366900284927,86.487,7.47604990005493
2008,YR2008,Estonia,EST,59.5514014147496,68.351,5.48403978347778
2008,YR2008,Finland,FIN,56.2247445499704,83.299,5.83010005950928
2008,YR2008,France,FRA,69.6540318613919,77.868,..
2008,YR2008,Germany,DEU,62.2231385161536,76.575,4.43594980239868
2008,YR2008,Greece,GRC,69.8913824635763,75.568,..
2008,YR2008,Hungary,HUN,56.473570074543,67.943,4.96611022949219
2008,YR2008,Iceland,ISL,61.474616215099,93.395,7.03601980209351
2008,YR2008,Ireland,IRL,62.5731441921768,61.141,5.45828008651733
2008,YR2008,Israel,ISR,66.5900720797431,91.702,5.5199499130249
2008,YR2008,Italy,ITA,64.7279409151643,68.092,4.38794994354248
2008,YR2008,Japan,JPN,70.2614584639798,89.103,3.27241992950439
2008,YR2008,"Korea, Rep.",KOR,56.1872404353949,81.733,..
2008,YR2008,Latvia,LVA,65.3283734867085,67.834,5.36644983291626
2008,YR2008,Lithuania,LTU,57.246401239777,66.848,4.83990001678467
2008,YR2008,Luxembourg,LUX,76.8613570571973,87.8,..
2008,YR2008,Netherlands,NLD,66.2228560656862,85.402,5.02904987335205
2008,YR2008,New Zealand,NZL,64.3305914279379,86.28,5.51144981384277
2008,YR2008,Norway,NOR,48.5871987541665,78.526,6.2852201461792
2008,YR2008,Poland,POL,55.9839168742917,61.116,5.04239988327026
2008,YR2008,Portugal,PRT,64.8391188297629,59.359,4.69609022140503
2008,YR2008,Slovak Republic,SVK,54.5298058183947,55.111,3.52165007591248
2008,YR2008,Slovenia,SVN,55.9348307841295,52.209,5.10951995849609
2008,YR2008,Spain,ESP,63.5010333101706,77.976,4.52805995941162
2008,YR2008,Sweden,SWE,62.4989120091623,84.746,6.34455013275146
2008,YR2008,Switzerland,CHE,69.4408923582721,73.556,4.73192977905273
2008,YR2008,United Kingdom,GBR,69.8608664758512,80.757,4.88497018814087
2008,YR2008,United States,USA,74.6195360403017,80.438,..
2008,YR2008,Mexico,MEX,59.522316216063,77.222,4.82006978988647
2008,YR2008,Turkiye,TUR,55.5431644626684,69.651,..
2009,YR2009,Australia,AUS,64.0694567414643,85.063,5.08451986312866
2009,YR2009,Austria,AUT,62.1685810384121,57.683,5.73024988174438
2009,YR2009,Belgium,BEL,68.0868743520415,97.603,6.45809984207153
2009,YR2009,Canada,CAN,66.8690424823749,80.758,4.84057998657227
2009,YR2009,Chile,CHL,55.5112499818484,87.017,4.23064994812012
2009,YR2009,Czechia,CZE,55.7403295636165,73.324,4.1460599899292
2009,YR2009,Denmark,DNK,65.4425601091589,86.654,8.44888019561768
2009,YR2009,Estonia,EST,60.8483981155766,68.223,5.96005010604858
2009,YR2009,Finland,FIN,59.6064859392452,83.429,6.45955991744995
2009,YR2009,France,FRA,70.7514167882827,78.117,..
2009,YR2009,Germany,DEU,64.2285534380328,76.771,4.90951013565063
2009,YR2009,Greece,GRC,71.2964396479848,75.932,..
2009,YR2009,Hungary,HUN,56.8896778861688,68.46,4.94466018676758
2009,YR2009,Iceland,ISL,64.9100700387847,93.511,7.18984985351563
2009,YR2009,Ireland,IRL,63.693503893556,61.342,6.15610980987549
2009,YR2009,Israel,ISR,67.0845016672748,91.763,5.48171997070313
2009,YR2009,Italy,ITA,66.6691942632771,68.209,4.52371978759766
2009,YR2009,Japan,JPN,71.9107064636731,89.989,..
2009,YR2009,"Korea, Rep.",KOR,55.9985720302947,81.835,2.86999988555908
2009,YR2009,Latvia,LVA,65.8612670057823,67.814,5.52265977859497
2009,YR2009,Lithuania,LTU,62.5770517657814,66.842,5.58523988723755
2009,YR2009,Luxembourg,LUX,78.6862877359337,88.178,..
2009,YR2009,Netherlands,NLD,67.9506179162092,86.288,5.43156003952026
2009,YR2009,New Zealand,NZL,65.5431868126213,86.22,6.28816986083984
2009,YR2009,Norway,NOR,53.6467857891414,78.815,7.10337018966675
2009,YR2009,Poland,POL,56.6952497221261,61.004,4.98976993560791
2009,YR2009,Portugal,PRT,66.8648919143193,59.964,5.56314992904663
2009,YR2009,Slovak Republic,SVK,58.958023259005,54.96,4.00641012191772
2009,YR2009,Slovenia,SVN,58.3162779503045,52.433,5.55496978759766
2009,YR2009,Spain,ESP,66.54322407729,78.21,4.91200017929077
2009,YR2009,Sweden,SWE,64.3776560704688,84.902,6.74971008300781
2009,YR2009,Switzerland,CHE,70.8330944030361,73.581,4.89041996002197
2009,YR2009,United Kingdom,GBR,71.6077758939581,81.031,5.04631996154785
2009,YR2009,United States,USA,76.514334508786,80.606,..
2009,YR2009,Mexico,MEX,60.7218316472303,77.52,5.18794012069702
2009,YR2009,Turkiye,TUR,57.1616793401796,70.241,..
2010,YR2010,Australia,AUS,65.6899677478282,85.182,5.54303979873657
2010,YR2010,Austria,AUT,62.2941578518769,57.399,5.70047998428345
2010,YR2010,Belgium,BEL,67.6576340646489,97.651,6.44259023666382
2010,YR2010,Canada,CAN,65.7334191252823,80.937,5.356369972229
2010,YR2010,Chile,CHL,53.8127811770917,87.074,4.16208982467651
2010,YR2010,Czechia,CZE,55.7881674084055,73.255,4.03350019454956
2010,YR2010,Denmark,DNK,65.3884134359863,86.795,8.55955028533936
2010,YR2010,Estonia,EST,59.9220424685995,68.094,5.51778984069824
2010,YR2010,Finland,FIN,58.9429317062022,83.77,6.50444984436035
2010,YR2010,France,FRA,70.6519707170239,78.369,..
2010,YR2010,Germany,DEU,62.2586569957885,76.966,4.94367980957031
2010,YR2010,Greece,GRC,70.3335389783951,76.292,..
2010,YR2010,Hungary,HUN,56.6767138142758,68.911,4.72175979614258
2010,YR2010,Iceland,ISL,61.8864348170265,93.574,6.9442400932312
2010,YR2010,Ireland,IRL,66.6828052329585,61.542,6.05136013031006
2010,YR2010,Israel,ISR,66.8198555085991,91.826,5.51981019973755
2010,YR2010,Italy,ITA,66.313973852083,68.327,4.33411979675293
