id,h,DeltaT,lambda,R2
61,5,1,5.921284,0.1192609
61,5,15,5.745321,0.0472896
61,5,60,5.848413,0.0182166
61,30,1,6.084111,0.1326568
61,30,15,5.308351,0.09181545
61,30,60,3.631327,0.04037472
61,60,1,6.057887,0.1329738
61,60,15,4.849709,0.08985849
61,60,60,2.869006,0.0376717
62,1,1,4.44444,0.06271334
62,1,15,2.977161,0.003923449
62,1,60,3.43301,0.001435552
62,5,1,5.561166,0.1174685
62,5,15,4.411645,0.03556705
62,5,60,4.082308,0.01049329
62,30,1,5.708409,0.1305735
62,30,15,4.457819,0.08140204
62,30,60,3.506647,0.04329039
62,60,1,5.691189,0.1312654
62,60,15,4.237644,0.08599824
62,60,60,3.211737,0.05558618
63,1,1,4.617368,0.06844181
63,1,15,4.221893,0.00812125
63,1,60,5.64924,0.004463456
63,5,1,5.719765,0.1251804
63,5,15,5.318604,0.0511358
63,5,60,5.599499,0.02203663
63,30,1,5.853172,0.13789
63,30,15,4.889535,0.09499446
63,30,60,3.665643,0.0523126
63,60,1,5.830093,0.1382636
63,60,15,4.519742,0.09512926
63,60,60,3.135709,0.05813878
64,1,1,4.034271,0.05711273
64,1,15,3.131807,0.004620919
64,1,60,3.993675,0.00219419
64,5,1,5.036623,0.1064042
64,5,15,4.392192,0.03695339
64,5,60,4.166456,0.01218167
64,30,1,5.156373,0.1176597
64,30,15,4.228625,0.07566725
64,30,60,3.076501,0.03564847
64,60,1,5.13806,0.1180856
64,60,15,3.966258,0.07679235
64,60,60,2.68115,0.04034439
65,1,1,4.766823,0.06531047
65,1,15,4.44373,0.007875631
65,1,60,6.146675,0.004707201
65,5,1,5.993262,0.1228824
65,5,15,5.969264,0.05685153
65,5,60,6.531625,0.02725113
65,30,1,6.145754,0.1365571
65,30,15,5.567211,0.1152657
65,30,60,4.908916,0.08736837
65,60,1,6.125255,0.1372287
65,60,15,5.210385,0.1184994
65,60,60,4.328134,0.1010705
66,1,1,5.351082,0.0757064
66,1,15,3.938708,0.005832914
66,1,60,2.707119,0.0009444409
66,5,1,6.522043,0.1343695
66,5,15,5.814522,0.05435277
66,5,60,3.655776,0.0100481
66,30,1,6.660157,0.1488667
66,30,15,5.549839,0.1214813
66,30,60,3.491812,0.0601714
66,60,1,6.628197,0.1495397
66,60,15,5.185345,0.1263825
66,60,60,3.143477,0.07540954
67,1,1,5.085203,0.07031448
67,1,15,5.446345,0.01083529
67,1,60,6.926622,0.005581921
67,5,1,6.284945,0.1284155
67,5,15,6.51222,0.06522659
67,5,60,6.465748,0.02616594
67,30,1,6.414099,0.1414084
67,30,15,5.676818,0.114064
67,30,60,4.269719,0.06416474
67,60,1,6.387583,0.1418224
67,60,15,5.256508,0.1137849
67,60,60,3.678943,0.07059753
68,1,1,4.882012,0.06791388
68,1,15,4.723429,0.009165309
68,1,60,5.605617,0.004119728
